FO: 158
Makespan: 158
------------------
Job    Start Time
0         0
1         0
2         8
3         12
4         64
5         18
6         44
7         49
8         67
9         69
10         26
11         93
12         58
13         98
14         35
15         101
16         121
17         127
18         95
19         76
20         132
21         134
22         151
23         141
24         111
25         114
26         85
27         153
28         144
29         83
30         156
31         158
