FO: 623
Makespan: 623
------------------
Job    Start Time
0         0
1         0
2         5
3         13
4         31
5         22
6         38
7         23
8         64
9         86
10         120
11         131
12         165
13         152
14         127
15         95
16         236
17         258
18         259
19         97
20         175
21         67
22         261
23         245
24         248
25         40
26         185
27         318
28         322
29         25
30         263
31         352
32         271
33         400
34         376
35         154
36         157
37         325
38         541
39         193
40         299
41         203
42         280
43         302
44         309
45         550
46         290
47         218
48         389
49         552
50         384
51         382
52         77
53         378
54         347
55         381
56         557
57         134
58         212
59         560
60         561
61         105
62         563
63         310
64         566
65         335
66         399
67         222
68         443
69         433
70         351
71         574
72         580
73         586
74         79
75         50
76         590
77         59
78         592
79         596
80         115
81         600
82         231
83         65
84         208
85         345
86         603
87         439
88         424
89         414
90         445
91         606
92         418
93         470
94         612
95         360
96         480
97         487
98         456
99         427
100         368
101         501
102         450
103         405
104         488
105         511
106         406
107         432
108         412
109         500
110         463
111         519
112         616
113         144
114         510
115         524
116         522
117         498
118         531
119         538
120         479
121         480
